ppt1,time1,gene1,ppt2,time2,gene2
L1,4.1,X,L1,4.1,SEC14L1
L1,4.1,X,L1,4.1,MED13
L1,4.1,X,L1,4.1,X
L1,4.1,X,L1,4.1,X
L1,4.1,X,L1,4.1,CBFB
L1,4.1,X,L1,4.1,X
L1,4.1,X,L1,4.1,CYP3A5
L1,4.1,X,L1,4.1,SMAP1
L1,4.1,X,L1,4.1,X
L1,11.8,AASS,L1,11.8,STAT5B
L1,11.8,APOBEC3C,L1,11.8,X
L1,11.8,APOBEC3C,L1,11.8,GNAI1
L1,11.8,ARHGAP11B,L1,11.8,MKL2
L1,11.8,BACH2,L1,11.8,APOBEC3C
L1,11.8,BACH2,L1,11.8,X
L1,11.8,CC2D1A,L1,11.8,MDC1
L1,11.8,CCDC53,L1,11.8,DPYD
L1,11.8,DPYD,L1,11.8,STAT5B
L1,11.8,GNAI1,L1,11.8,X
L1,11.8,IL17RA,L1,11.8,X
L1,11.8,MAP4K5,L1,11.8,MDC1
L1,11.8,MDC1,L1,11.8,X
L1,11.8,MDC1,L1,11.8,MDC1
L1,11.8,MDC1,L1,11.8,AASS
L1,11.8,MDC1,L1,11.8,X
L1,11.8,MDC1,L1,11.8,RNASEH2B
L1,11.8,MDC1,L1,11.8,MDC1
L1,11.8,MDC1,L1,11.8,X
L1,11.8,MDC1,L1,11.8,X
L1,11.8,MDC1,L1,11.8,MDC1
L1,11.8,MKL2,L1,11.8,X
L1,11.8,MKL2,L1,11.8,X
L1,11.8,MKL2,L1,11.8,CCDC53
L1,11.8,PHTF2,L1,11.8,X
L1,11.8,PIK3C3,L1,11.8,MDC1
L1,11.8,PTPN13,L1,11.8,X
L1,11.8,RASA2,L1,11.8,MKL2
L1,11.8,RNASEH2B,L1,11.8,STAT5B
L1,11.8,STAT5B,L1,11.8,PTPN13
L1,11.8,STAT5B,L1,11.8,WDR90
L1,11.8,STAT5B,L1,11.8,BACH2
L1,11.8,WDR90,L1,11.8,ARHGAP11B
L1,11.8,X,L1,11.8,MAP4K5
L1,11.8,X,L1,11.8,X
L1,11.8,X,L1,11.8,MDC1
L1,11.8,X,L1,11.8,X
L1,11.8,X,L1,11.8,RASA2
L1,11.8,X,L1,11.8,PHTF2
L1,11.8,X,L1,11.8,CC2D1A
L1,11.8,X,L1,11.8,MKL2
L1,11.8,X,L1,11.8,X
L1,11.8,X,L1,11.8,MDC1
L1,11.8,X,L1,11.8,MDC1
L1,11.8,X,L1,11.8,APOBEC3C
L1,11.8,X,L1,11.8,BACH2
L1,11.8,X,L1,11.8,PIK3C3
L1,11.8,X,L1,11.8,IL17RA
R1,1.8,SEPT7,R1,1.8,GLCCI1
R1,1.8,ADK,R1,1.8,MAP4
R1,1.8,AK001533,R1,1.8,LMO7
R1,1.8,ALMS1,R1,1.8,ERC1
R1,1.8,ANKRD13C,R1,1.8,ANKRD44
R1,1.8,ANKRD44,R1,1.8,ZGPAT
R1,1.8,BACH2,R1,1.8,ADK
R1,1.8,BOLA2,R1,1.8,ANKRD13C
R1,1.8,BRD4,R1,1.8,X
R1,1.8,C2CD3,R1,1.8,GCN1L1
R1,1.8,CD3E,R1,1.8,RBMS2
R1,1.8,CNOT6,R1,1.8,ZBTB25
R1,1.8,CPD,R1,1.8,CD3E
R1,1.8,DDX17,R1,1.8,IL6ST
R1,1.8,DET1,R1,1.8,TRPM7
R1,1.8,DNM3,R1,1.8,GRIP1
R1,1.8,DST,R1,1.8,HEMGN
R1,1.8,ERC1,R1,1.8,X
R1,1.8,ERLIN1,R1,1.8,RABEP1
R1,1.8,FRMD8,R1,1.8,X
R1,1.8,FUT8,R1,1.8,SNX8
R1,1.8,GCN1L1,R1,1.8,POC1A
R1,1.8,GLCCI1,R1,1.8,DET1
